cut,W,Z,top,ttV,single top,total background,signal,significance
0,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,18.10031141899526,-0.09460182376134145
100,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,18.10031141899526,-0.09460182376134145
200,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,18.10031141899526,-0.09460182376134145
300,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,18.10031141899526,-0.09460182376134145
400,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,18.10031141899526,-0.09460182376134145
500,3561.43866366148,3478.299379348755,11356.502927422523,1355.610319036059,3155.616611599922,22907.467762231827,18.10031141899526,-0.09460137050089719
600,3553.363848865032,3451.1022398471832,11341.308237195015,1353.3679981706664,3151.610402703285,22850.752586603165,18.10031141899526,-0.09458828807997148
700,3535.6822144389153,3371.2128450870514,11248.982984662056,1332.6481428621337,3125.9631468057632,22614.489189386368,18.10031141899526,-0.09453308426155253
800,3445.6098172068596,3241.1630671024323,11060.82056248188,1291.8216352937743,3058.266209244728,22097.681144952774,18.083388736471534,-0.09441333351175463
900,3283.8464581370354,3079.1507074832916,10576.965459942818,1203.3664427278563,2947.8896909952164,21091.218590021133,18.083388736471534,-0.0941528707839632
1000,3043.1184155344963,2813.844089746475,9744.814092755318,1089.6477995393798,2785.2394148111343,19476.66365838051,18.066466053947806,-0.0936846933364921
1100,2717.802650153637,2576.8358805179596,8594.818304181099,897.4144850252196,2552.060139298439,17338.93123650551,17.998775323852897,-0.09294831076159817
1200,2384.0488964915276,2224.709553003311,7228.568853497505,727.8223753450438,2270.0266157388687,14835.176231622696,17.711089735850692,-0.09191024687101365
1300,2068.0923382639885,1875.1109354496002,5937.115606427193,557.1169538972899,1963.9532514810562,12401.389000177383,17.27109999023378,-0.09058656937029215
1400,1798.5987469553947,1581.501987695694,4843.169866681099,433.7555761812255,1659.9807173013687,10317.006798028946,16.78034216724336,-0.08903139240129548
1500,1500.1089093089104,1304.132145166397,3929.2624875307083,333.15743546467274,1374.2401777505875,8440.901085138321,16.103434747084975,-0.08716254668303626
1600,1237.7513653635979,1097.9683573246002,3169.576391339302,263.71958069782704,1142.67438185215,6911.690147638321,15.253526335582137,-0.0851787773894443
1700,1090.5978695750237,911.9520990848541,2547.7877255678177,217.11142258625478,987.0218549966812,5754.471031427383,14.251972442492843,-0.08339413793632355
1800,885.7036435008049,750.6238749027252,2061.585683941841,159.628443765454,792.1454893350601,4649.687156915665,12.965341275557876,-0.0813381762322255
1900,737.3173596262932,610.1347391605377,1681.7242642641068,121.56181626301259,660.9216085672379,3811.6598131656647,11.793492978438735,-0.07932989963771545
2000,638.4027783274651,487.0065996646881,1373.1921445131302,106.63832651358098,520.770386338234,3126.010215997696,10.453472023829818,-0.07770021958197941
2100,549.2036892771721,402.3897249698639,1127.7570630311966,71.83201395254582,440.5058561563492,2591.6883471012115,9.067218190059066,-0.07671083449761373
2200,433.2416378855705,345.17192482948303,910.3748914003372,40.09317384939641,340.74712812900543,2069.6287462711334,7.808777755126357,-0.07495024157658961
2300,353.1053082346916,290.3141596317291,746.7556210756302,30.003396856598556,285.6514860391617,1705.8299639225006,6.749518251046538,-0.07379877577832064
2400,272.94696778059006,235.8927938938141,613.5253087282181,31.56477020960301,233.98534643650055,1387.9151842594147,5.5480952616781,-0.07361116130368406
2500,208.729573905468,197.90831303596497,500.1569768190384,28.144029724411666,199.74155390262604,1134.6804430484772,4.543612336739898,-0.07366257254048972
2600,180.75355690717697,156.20705914497375,424.19302570819855,21.50490866880864,149.08774721622467,931.7462999820709,3.6578187998384237,-0.0742899618464751
2700,139.5957219004631,129.50395607948303,335.3870145082474,16.1406217366457,113.81942141056061,734.4467394351959,2.922707861289382,-0.07411311302487929
2800,103.50804299116135,110.33409523963928,261.75446903705597,14.461495280265808,93.78591120243073,583.8440172672272,2.427988549694419,-0.07317285777520313
2900,83.87940663099289,87.998211145401,222.02284824848175,5.849321484565735,84.52296298742294,484.27275109291077,2.05101422034204,-0.0729051297113823
3000,74.51619094610214,73.82223391532898,181.1269942522049,3.8474514484405518,73.3025090098381,406.61538338661194,1.7403656747192144,-0.07287336993690575
3100,66.28145760297775,62.30907940864563,144.9011069536209,4.6414995193481445,62.084629237651825,340.21777749061584,1.3376440908759832,-0.07536968987134827
3200,39.13651245832443,52.966991901397705,119.19769966602325,2.1977345943450928,55.67556518316269,269.17450737953186,1.0759607460349798,-0.0754356851772893
3300,32.83418935537338,45.38438177108765,105.1784816980362,0.4543803334236145,45.257748782634735,229.1091845035553,0.8994943629950285,-0.07627190889796699
3400,25.399010360240936,41.30029225349426,85.3052316904068,1.5796639919281006,39.64675587415695,193.23095726966858,0.844286372885108,-0.07410170236878401
3500,21.606572449207306,30.61913537979126,74.78952634334564,5.012340307235718,29.442059695720673,161.46963620185852,0.6823753695935011,-0.07562169764959456
3600,16.159384548664093,27.38128697872162,59.597636103630066,3.813189744949341,25.43364518880844,132.38514256477356,0.5919931884855032,-0.07508340265335561
3700,13.320831537246704,22.650725483894348,53.75337779521942,2.7561780214309692,16.028677344322205,108.50978970527649,0.43782371096313,-0.0786509902015999
