cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.37743691727519,14.426626324653625,24.606345057487488,8.586968511343002,1.1873751490265754
100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.37743691727519,14.426626324653625,24.606345057487488,8.586968511343002,1.1873751490265754
200,1.6506800055503845,1.8158115148544312,2.3357903957366943,2.2001641392707825,11.22201156616211,19.224457502365112,2.9082698822021484,0.4227817272666073
300,0.0,0.0,2.3357903957366943,0.0,4.007186472415924,6.342976868152618,1.1843016594648361,0.27494199368754063
400,0.0,0.0,2.3357903957366943,0.0,2.404954195022583,4.740744590759277,0.14376842975616455,-0.11281650165259369
500,0.0,0.0,1.168150782585144,0.0,0.0,1.168150782585144,0.0,-0.3238500133119181
