cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,1.1433375533670187,0.0706887532437848
1,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,1.1433375533670187,0.0706887532437848
2,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,1.1433375533670187,0.0706887532437848
3,1.6506800055503845,1.8158115148544312,2.3357903957366943,2.181787297129631,14.42662662267685,22.41069597005844,1.0080050732940435,0.05788142177186078
4,0.5019254088401794,1.8158115148544312,2.3357903957366943,1.2137164920568466,14.42662662267685,20.293870627880096,0.7846138682216406,0.026964970948737604
5,0.5019254088401794,1.171453595161438,2.3357903957366943,1.1921452283859253,13.625181019306183,18.826495826244354,0.5816151555627584,-0.006373510624567105
6,0.5019254088401794,0.0,2.3357903957366943,-0.29285311698913574,10.421315968036652,12.966178596019745,0.2923891004174948,-0.05706943316522724
7,0.5019254088401794,0.0,1.168150782585144,-1.2579346895217896,8.01814466714859,8.43028610944748,0.1887576635926962,-0.08498578059993282
8,0.5019254088401794,0.0,0.0,0.0,4.8093536496162415,5.311278998851776,0.050749680027365685,-0.1484624460452015
9,0.5019254088401794,0.0,0.0,0.0,2.4046817421913147,2.9066070914268494,0.016916560009121895,-0.20525934977059548
10,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.016916560009121895,-0.36476581576533257
11,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.0,-0.38677901044042173
