cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,0.9914568830281496,0.04643564607695917
1,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,0.9914568830281496,0.04643564607695917
2,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,0.9914568830281496,0.04643564607695917
3,1.6506800055503845,1.8158115148544312,2.3357903957366943,2.181787297129631,14.42662662267685,22.41069597005844,0.9068447072058916,0.040660988884021525
4,0.5019254088401794,1.8158115148544312,2.3357903957366943,1.2137164920568466,14.42662662267685,20.293870627880096,0.6699306536465883,0.006037147028823462
5,0.5019254088401794,1.171453595161438,2.3357903957366943,1.1921452283859253,13.625181019306183,18.826495826244354,0.43301660008728504,-0.03497925809293899
6,0.5019254088401794,0.0,2.3357903957366943,-0.29285311698913574,10.421315968036652,12.966178596019745,0.22659789212048054,-0.07319527582912731
7,0.5019254088401794,0.0,1.168150782585144,-1.2579346895217896,8.01814466714859,8.43028610944748,0.08976115472614765,-0.11657217490161419
8,0.5019254088401794,0.0,0.0,0.0,4.8093536496162415,5.311278998851776,0.05408676527440548,-0.14706250345882307
9,0.5019254088401794,0.0,0.0,0.0,2.4046817421913147,2.9066070914268494,0.03716433048248291,-0.1932302740913298
10,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.03716433048248291,-0.3387116544900681
11,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.02024189569056034,-0.36046521262901826
