cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
200,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
300,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
400,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
500,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
600,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
700,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
800,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.9914569854736328,0.046435661250848345
900,0.5019254088401794,1.8158115148544312,2.3357903957366943,4.578305929899216,8.817758083343506,18.049591571092606,0.7545428946614265,0.029837129456523805
1000,0.0,0.0,1.168150782585144,2.747853070497513,6.411714315414429,10.327718287706375,0.6360858492553234,0.04165653900783221
1100,0.0,0.0,0.0,1.536916345357895,4.809861779212952,6.346778124570847,0.46087156794965267,0.013127101963271562
1200,0.0,0.0,0.0,1.0474315881729126,4.0082467794418335,5.055678367614746,0.35651006549596786,-0.020493477671999768
1300,0.0,0.0,0.0,1.0474315881729126,2.40544193983078,3.4528735280036926,0.25497545674443245,-0.0648250048794305
1400,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.15344084613025188,-0.15249725305436723
1500,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.06780780851840973,-0.22289216406828008
