cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,55.344142720103264,6.3932030588510935
1,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,55.344142720103264,6.3932030588510935
2,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,55.17589135468006,6.377838125338943
3,1.6506800055503845,1.8158115148544312,2.3357903957366943,2.181787297129631,14.42662662267685,22.41069597005844,48.587692216038704,6.045596665421973
4,0.5019254088401794,1.8158115148544312,2.3357903957366943,1.2137164920568466,14.42662662267685,20.293870627880096,42.7524723559618,5.73534883555718
5,0.5019254088401794,1.171453595161438,2.3357903957366943,1.1921452283859253,13.625181019306183,18.826495826244354,29.9673742800951,4.448363465526606
6,0.5019254088401794,0.0,2.3357903957366943,-0.29285311698913574,10.421315968036652,12.966178596019745,20.29524178802967,3.8528104885339802
7,0.5019254088401794,0.0,1.168150782585144,-1.2579346895217896,8.01814466714859,8.43028610944748,11.016198590397835,2.7725447346609484
8,0.5019254088401794,0.0,0.0,0.0,4.8093536496162415,5.311278998851776,5.0922712832689285,1.6814465939233023
9,0.5019254088401794,0.0,0.0,0.0,2.4046817421913147,2.9066070914268494,1.211025670170784,0.4558072980685624
10,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.8019881099462509,0.48972682256880895
11,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.165047749876976,-0.18080725270407338
