cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,8.373123794794083,1.1570520127792032
1,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,8.373123794794083,1.1570520127792032
2,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.3774366825819016,14.42662662267685,24.60634535551071,8.090264111757278,1.116798510986205
3,1.6506800055503845,1.8158115148544312,2.3357903957366943,2.181787297129631,14.42662662267685,22.41069597005844,7.289089411497116,1.0676862822081905
4,0.5019254088401794,1.8158115148544312,2.3357903957366943,1.2137164920568466,14.42662662267685,20.293870627880096,5.820269197225571,0.9002785456843035
5,0.5019254088401794,1.171453595161438,2.3357903957366943,1.1921452283859253,13.625181019306183,18.826495826244354,4.217919796705246,0.6656559811336233
6,0.5019254088401794,0.0,2.3357903957366943,-0.29285311698913574,10.421315968036652,12.966178596019745,2.8721555173397064,0.5506972038809116
7,0.5019254088401794,0.0,1.168150782585144,-1.2579346895217896,8.01814466714859,8.43028610944748,1.3891418874263763,0.2869749309403593
8,0.5019254088401794,0.0,0.0,0.0,4.8093536496162415,5.311278998851776,0.9711392223834991,0.22549452689129046
9,0.5019254088401794,0.0,0.0,0.0,2.4046817421913147,2.9066070914268494,0.4255933463573456,0.03144986929610139
10,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.13352912664413452,-0.21873437113418262
11,0.0,0.0,0.0,0.0,0.8009917140007019,0.8009917140007019,0.13352912664413452,-0.21873437113418262
