cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
200,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
300,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
400,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
500,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
600,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
700,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
800,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,3.530939754098654,0.4436193788117125
900,0.5019254088401794,1.8158115148544312,2.3357903957366943,4.578305929899216,8.817758083343506,18.049591571092606,3.096062045544386,0.4783192590873579
1000,0.0,0.0,1.168150782585144,2.747853070497513,6.411714315414429,10.327718287706375,2.6695244684815407,0.585657149363513
1100,0.0,0.0,0.0,1.536916345357895,4.809861779212952,6.346778124570847,2.1064009740948677,0.5941445678453954
1200,0.0,0.0,0.0,1.0474315881729126,4.0082467794418335,5.055678367614746,1.7352445274591446,0.5345814818633066
1300,0.0,0.0,0.0,1.0474315881729126,2.40544193983078,3.4528735280036926,1.5032717622816563,0.5519962528837206
1400,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,1.031679641455412,0.5002133580373532
1500,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.5198350511491299,0.13347649489161742
