cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
200,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
300,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
400,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
500,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
600,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
700,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
800,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
900,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1000,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1200,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1300,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1400,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1500,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626324653625,24.606344789266586,32.96634963154793,4.178151725667098
1600,1.6506800055503845,1.8158115148544312,2.3357903957366943,6.148156851530075,14.426626324653625,26.377064794301987,27.985398918390274,3.4854819866520006
1700,1.6506800055503845,1.171453595161438,2.3357903957366943,5.658672094345093,14.426626324653625,25.24322211742401,23.72606733441353,3.0895872853152486
1800,1.148754596710205,1.171453595161438,2.3357903957366943,5.658672094345093,13.625414669513702,23.94008505344391,19.102405101060867,2.620352882717259
1900,1.148754596710205,1.171453595161438,2.3357903957366943,4.80842649936676,13.625414669513702,23.089839458465576,16.030806690454483,2.277072339826296
2000,0.0,0.0,2.3357903957366943,3.4154120683670044,12.823799669742584,18.575002193450928,12.13963583111763,1.9957686407053332
2100,0.0,0.0,1.168150782585144,2.980583965778351,10.420729100704193,14.569463849067688,8.244083195924759,1.5830594637123854
2200,0.0,0.0,1.168150782585144,2.0125131607055664,9.617725729942322,12.798389673233032,5.397252112627029,1.114189813041556
2300,0.0,0.0,1.168150782585144,1.0474315881729126,8.014580845832825,10.230163216590881,4.135830610990524,0.9612928339432067
2400,0.0,0.0,1.168150782585144,0.0,7.213053941726685,8.381204724311829,3.5361157655715942,0.9115833651349796
2500,0.0,0.0,1.168150782585144,0.0,7.213053941726685,8.381204724311829,2.5535453259944916,0.6325919475396815
2600,0.0,0.0,1.168150782585144,0.0,7.213053941726685,8.381204724311829,1.7596465051174164,0.3994955596937645
2700,0.0,0.0,1.168150782585144,0.0,6.411496460437775,7.579647243022919,1.0474270582199097,0.19868568770321873
2800,0.0,0.0,1.168150782585144,0.0,6.411496460437775,7.579647243022919,0.7683314830064774,0.10745537085947843
2900,0.0,0.0,1.168150782585144,0.0,4.809319078922272,5.977469861507416,0.6058093756437302,0.07085542900416869
3000,0.0,0.0,0.0,0.0,3.20593124628067,3.20593124628067,0.4684991389513016,0.05004937879770144
3100,0.0,0.0,0.0,0.0,3.20593124628067,3.20593124628067,0.331188902258873,-0.02377395560093028
3200,0.0,0.0,0.0,0.0,3.20593124628067,3.20593124628067,0.13929860293865204,-0.12889139859099522
3300,0.0,0.0,0.0,0.0,3.20593124628067,3.20593124628067,0.13929860293865204,-0.12889139859099522
3400,0.0,0.0,0.0,0.0,2.405524253845215,2.405524253845215,0.0,-0.23347523687077504
3500,0.0,0.0,0.0,0.0,1.604532539844513,1.604532539844513,0.0,-0.27966614230428816
3600,0.0,0.0,0.0,0.0,0.8024049997329712,0.8024049997329712,0.0,-0.3864569315929875
3700,0.0,0.0,0.0,0.0,0.8024049997329712,0.8024049997329712,0.0,-0.3864569315929875
3800,0.0,0.0,0.0,0.0,0.8024049997329712,0.8024049997329712,0.0,-0.3864569315929875
