met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
812.7627563476562,2,5,3,-1236.90478515625,1318.37841796875,88.87319946289062,196.1809539794922,299.50439453125,135.84764099121094,1.8135721683502197,1
971.9845581054688,2,5,3,-687.5269775390625,1271.8485107421875,157.85491943359375,84.39601135253906,401.3363342285156,84.39601135253906,1.0539413690567017,1
498.6565856933594,3,7,4,-286.0881652832031,1163.4285888671875,189.7132110595703,68.56941223144531,189.7132110595703,130.98696899414062,0.9105591773986816,1
557.2979125976562,2,4,2,143.98622131347656,1456.0152587890625,131.34176635742188,180.95474243164062,131.34176635742188,180.95474243164062,2.8320231437683105,1
682.5101928710938,2,10,8,-539.6987915039062,1150.935791015625,115.95193481445312,91.06404113769531,236.71810913085938,68.75053405761719,2.0237488746643066,1
784.8855590820312,2,5,3,126.50728607177734,823.70751953125,175.33775329589844,72.74642181396484,175.33775329589844,72.74642181396484,2.1534268856048584,1
479.2393493652344,2,6,4,-435.23919677734375,1303.53662109375,167.736083984375,179.9190673828125,167.736083984375,179.9190673828125,3.2474281787872314,1
799.341552734375,2,6,4,-242.66053771972656,1306.349365234375,188.60169982910156,60.5758056640625,188.60169982910156,224.1478271484375,2.18162202835083,1
842.1911010742188,2,5,3,104.79034423828125,1075.4913330078125,199.54116821289062,86.5973892211914,199.54116821289062,86.5973892211914,0.5194321274757385,1
588.6455688476562,2,6,4,-1720.3658447265625,1675.093017578125,173.7214813232422,190.83006286621094,173.7214813232422,273.16558837890625,3.04361891746521,1
724.7304077148438,2,6,4,-880.3118896484375,1373.453125,120.57317352294922,175.28753662109375,120.57317352294922,175.28753662109375,1.6324924230575562,1
661.7168579101562,2,6,4,-100.29261016845703,1206.75439453125,83.29268646240234,160.56300354003906,443.1416320800781,0.0,1.6859174966812134,1
736.2831420898438,2,11,9,-512.1368408203125,1833.667236328125,218.4917449951172,68.06565856933594,218.4917449951172,68.06565856933594,1.3425596952438354,1
463.1913146972656,2,11,9,135.56239318847656,1573.995849609375,99.25947570800781,93.66938781738281,598.630615234375,93.66938781738281,1.4807226657867432,1
861.6770629882812,2,8,6,-341.5536193847656,1426.532958984375,172.48094177246094,126.09214782714844,172.48094177246094,197.61367797851562,1.5645946264266968,1
562.7743530273438,2,7,5,-472.3554382324219,1296.0206298828125,178.21990966796875,90.22364807128906,178.21990966796875,159.02359008789062,1.4328665733337402,1
720.1111450195312,2,7,5,-98.1167984008789,1089.2392578125,151.9070281982422,97.77281188964844,151.9070281982422,97.77281188964844,1.8247828483581543,1
480.7613525390625,2,7,5,156.3413543701172,1392.21826171875,178.77052307128906,113.96578216552734,178.77052307128906,172.49899291992188,1.9506748914718628,1
411.7704772949219,2,6,4,-404.96112060546875,1276.0284423828125,174.800048828125,89.79151153564453,174.800048828125,146.633056640625,0.7440963387489319,1
752.546142578125,2,5,3,-238.0406494140625,1261.002197265625,158.73501586914062,162.38905334472656,158.73501586914062,162.38905334472656,2.307509183883667,1
508.02813720703125,2,7,5,-92.49276733398438,1118.24365234375,69.4922866821289,92.08709716796875,159.81814575195312,173.8522186279297,2.013153076171875,1
809.09912109375,2,5,3,156.01402282714844,1122.7603759765625,151.40780639648438,74.76547241210938,151.40780639648438,129.2059783935547,1.4523783922195435,1
566.4619750976562,2,4,2,125.24842834472656,1297.4921875,168.45147705078125,166.0714569091797,168.45147705078125,166.0714569091797,2.008405923843384,1
640.7637939453125,2,9,7,-417.7473449707031,1503.5279541015625,164.30482482910156,121.6217269897461,164.30482482910156,180.0546417236328,2.70361590385437,1
706.59130859375,2,9,7,-154.15126037597656,1185.668701171875,170.42767333984375,115.52843475341797,270.96771240234375,206.43771362304688,2.2132019996643066,1
1038.619384765625,2,8,6,-324.15966796875,1253.1092529296875,113.1335220336914,84.99596405029297,341.1180419921875,251.82861328125,1.0975643396377563,1
