met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
429.67327880859375,2,7,5,-875.6207275390625,965.1842651367188,79.76341247558594,63.369422912597656,150.14642333984375,144.13363647460938,1.0609395503997803,0
550.1497802734375,2,5,3,85.5406494140625,697.7704467773438,95.00801849365234,60.46432113647461,313.0030212402344,0.0,1.204455852508545,0
601.5108642578125,2,13,11,-389.5399169921875,2643.411376953125,235.21060180664062,102.30584716796875,235.21060180664062,462.1917724609375,2.515669584274292,0
447.3847961425781,2,5,3,-306.294921875,677.718505859375,66.49836730957031,102.12150573730469,191.52761840820312,50.98439407348633,0.5652293562889099,0
809.5368041992188,2,5,3,-171.41917419433594,877.7039794921875,134.3883819580078,96.36365509033203,222.24183654785156,96.36365509033203,0.5797308683395386,0
412.7752685546875,2,9,7,-300.8606262207031,911.4522094726562,67.84663391113281,77.65437316894531,229.16552734375,77.65437316894531,0.529206395149231,0
648.3900146484375,2,7,5,-218.9355010986328,839.5418090820312,101.79945373535156,64.69155883789062,165.156005859375,0.0,1.4780206680297852,0
469.5971984863281,2,10,8,166.2476806640625,1172.3519287109375,90.45040893554688,111.33938598632812,230.86953735351562,144.11471557617188,0.6833221912384033,0
674.5311889648438,2,6,4,119.10676574707031,760.329833984375,69.74297332763672,62.780269622802734,259.9548645019531,0.0,1.1794476509094238,0
566.568603515625,2,4,2,-88.46984100341797,662.0631713867188,85.34666442871094,94.87323760986328,205.66041564941406,25.152982711791992,0.5324520468711853,0
441.7945556640625,2,6,4,-615.0208129882812,768.6802368164062,80.03816986083984,66.65157318115234,168.26071166992188,0.0,0.4721037745475769,0
454.14141845703125,2,4,2,-301.8457946777344,1082.78759765625,140.20155334472656,99.8099365234375,140.20155334472656,99.8099365234375,0.7309798002243042,0
448.3594665527344,2,6,4,-195.8385772705078,768.989990234375,74.34468841552734,80.2261734008789,186.3698272705078,74.34468841552734,0.4586760699748993,0
843.790283203125,2,5,3,172.37376403808594,803.7382202148438,125.2771987915039,90.25281524658203,125.2771987915039,122.53831481933594,0.7441351413726807,0
911.8152465820312,2,7,5,150.40020751953125,1518.979248046875,127.71469116210938,109.89370727539062,127.71469116210938,109.89370727539062,1.6824419498443604,0
430.28387451171875,2,5,3,90.03074645996094,596.1481323242188,77.81568145751953,96.36422729492188,400.37530517578125,0.0,0.4077589511871338,0
546.0416870117188,2,4,2,134.8234405517578,677.231689453125,81.323486328125,60.98124313354492,361.7459411621094,0.0,0.5280960202217102,0
578.6300659179688,2,6,4,-230.1175537109375,800.49365234375,95.61019897460938,120.44197845458984,221.64175415039062,47.849632263183594,1.5329644680023193,0
713.6053466796875,2,6,4,-470.78778076171875,934.936767578125,82.10511779785156,78.18779754638672,342.6150817871094,0.0,0.5004371404647827,0
780.745361328125,2,5,3,-995.4304809570312,818.2005615234375,60.75433349609375,66.31381225585938,339.5924072265625,35.29949951171875,1.1192830801010132,0
560.9619140625,2,4,2,163.53150939941406,815.4297485351562,142.85568237304688,73.34040832519531,347.3572082519531,0.0,0.6509649753570557,0
553.8899536132812,2,5,3,-503.24951171875,884.723876953125,130.15574645996094,96.74594116210938,130.15574645996094,96.74594116210938,0.7655795812606812,0
468.1328125,2,5,3,169.786376953125,938.2311401367188,163.39913940429688,104.9217300415039,163.39913940429688,104.9217300415039,0.6337859034538269,0
426.3536682128906,2,7,5,144.7314453125,1015.2623901367188,195.91441345214844,89.73980712890625,195.91441345214844,89.73980712890625,0.5108056664466858,0
530.7313232421875,2,4,2,-280.71697998046875,1054.6953125,163.26498413085938,165.11788940429688,163.26498413085938,165.11788940429688,1.2455039024353027,0
663.0051879882812,2,6,4,165.10452270507812,1016.45263671875,75.92207336425781,63.483299255371094,381.6611328125,0.0,0.5764082074165344,0
428.4948425292969,2,4,2,160.1142120361328,1071.0185546875,156.72177124023438,102.45783996582031,156.72177124023438,102.45783996582031,0.4302603602409363,0
458.1127624511719,2,6,4,112.52397918701172,972.0274047851562,115.7403335571289,72.47122192382812,195.06838989257812,124.50444030761719,2.322031021118164,0
435.985595703125,2,5,3,154.3395233154297,1247.466552734375,225.05096435546875,113.42599487304688,225.05096435546875,113.42599487304688,0.5423643589019775,0
442.6458435058594,2,6,4,-347.4033508300781,697.6055908203125,75.60018157958984,60.236732482910156,289.9755554199219,0.0,0.740505576133728,0
681.8731689453125,2,9,7,-627.6951904296875,1231.8582763671875,109.42706298828125,66.61039733886719,290.4347229003906,66.61039733886719,0.5775851011276245,0
418.2129211425781,2,5,3,-1061.5823974609375,1145.0286865234375,107.05939483642578,139.58108520507812,261.140625,139.58108520507812,2.4964144229888916,0
586.2473754882812,2,7,5,-261.91558837890625,1032.179443359375,126.60205841064453,74.39794921875,227.8608856201172,74.39794921875,0.6886646151542664,0
440.68927001953125,2,11,9,-213.8909912109375,1935.1142578125,126.96015167236328,154.48458862304688,268.124267578125,126.96015167236328,2.1842379570007324,0
407.0071716308594,2,6,4,164.41815185546875,829.397216796875,187.27781677246094,69.9199447631836,364.0357971191406,69.9199447631836,0.8310256004333496,0
599.9275512695312,2,6,4,-603.42626953125,956.778076171875,120.35911560058594,101.09806060791016,120.35911560058594,101.09806060791016,3.0186753273010254,0
571.4217529296875,2,11,9,169.04388427734375,1338.9334716796875,133.1847381591797,87.96465301513672,160.63427734375,130.4897918701172,0.6181541681289673,0
530.8825073242188,2,6,4,-241.10321044921875,772.282958984375,92.3210220336914,60.115142822265625,273.18475341796875,0.0,0.557379424571991,0
471.6031494140625,2,8,6,-69.89435577392578,1045.4150390625,104.7896499633789,70.62718200683594,324.3299255371094,0.0,1.0193289518356323,0
455.384033203125,2,9,7,139.43441772460938,1759.5167236328125,126.4360580444336,125.15764617919922,415.2565002441406,157.8289337158203,3.2191717624664307,0
462.84234619140625,2,5,3,-647.0509643554688,1293.6612548828125,63.3087272644043,131.8955841064453,227.4915008544922,131.8955841064453,0.6355363130569458,0
485.961181640625,2,6,4,163.2867431640625,910.9072875976562,153.27426147460938,113.31179809570312,153.27426147460938,113.31179809570312,0.9600833654403687,0
479.9175720214844,2,6,4,72.70374298095703,851.2306518554688,84.29973602294922,61.82159423828125,335.8924255371094,61.82159423828125,1.2619484663009644,0
411.28729248046875,2,6,4,-522.3766479492188,815.830322265625,122.18698120117188,88.13887023925781,122.18698120117188,88.13887023925781,0.6183339357376099,0
466.30047607421875,2,5,3,51.276153564453125,1050.88427734375,123.2912368774414,93.99268341064453,123.2912368774414,93.99268341064453,0.747402548789978,0
414.3481140136719,2,6,4,-448.58612060546875,912.909423828125,122.33133697509766,66.4690933227539,122.33133697509766,66.4690933227539,0.6155417561531067,0
574.7400512695312,2,6,4,-107.5999984741211,966.240966796875,69.39300537109375,81.08041381835938,228.46951293945312,0.0,1.7275159358978271,0
676.904052734375,2,5,3,171.27774047851562,923.9896240234375,125.94712829589844,63.65920639038086,247.40768432617188,0.0,2.4902617931365967,0
420.544921875,2,8,6,162.25660705566406,719.180908203125,63.86225891113281,76.61521911621094,192.1597900390625,63.86225891113281,1.3410978317260742,0
465.4281311035156,2,5,3,168.86183166503906,857.1947021484375,158.5492401123047,76.98165893554688,158.5492401123047,76.98165893554688,0.47155702114105225,0
409.3522033691406,2,9,7,171.7754669189453,936.38671875,98.13634490966797,89.978759765625,146.87477111816406,89.978759765625,2.088639736175537,0
401.3797912597656,2,5,3,171.4814453125,936.2305297851562,121.43235778808594,77.40422058105469,251.8686065673828,77.40422058105469,0.7603096961975098,0
419.18487548828125,2,6,4,-645.3175048828125,1154.97802734375,84.62725830078125,80.04737091064453,326.87261962890625,80.04737091064453,1.1958953142166138,0
