met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb,is_signal
453.12506103515625,2,8,6,140.29383850097656,1039.465576171875,79.83988189697266,102.42074584960938,175.87106323242188,277.99591064453125,3.045372247695923,0
648.2900390625,2,9,7,-420.948486328125,1178.13037109375,186.90354919433594,65.39925384521484,238.26353454589844,65.39925384521484,1.0287359952926636,0
438.5960388183594,2,6,4,-464.5698547363281,834.83203125,165.95201110839844,83.19072723388672,165.95201110839844,83.19072723388672,0.5157111287117004,0
522.984619140625,2,4,2,-371.292236328125,1713.5306396484375,204.0079803466797,176.2448272705078,204.0079803466797,176.2448272705078,2.490112066268921,0
429.811767578125,2,7,5,-369.18914794921875,983.871826171875,139.4450225830078,62.75688552856445,139.4450225830078,62.75688552856445,2.534168004989624,0
496.02630615234375,2,6,4,78.12846374511719,1341.429931640625,203.44947814941406,148.6143035888672,203.44947814941406,148.6143035888672,2.161065101623535,0
830.7318115234375,2,7,5,159.5673828125,1435.504150390625,141.2925262451172,100.69345092773438,333.2508544921875,158.9261932373047,1.8586093187332153,0
532.2697143554688,2,6,4,-447.55279541015625,1214.282958984375,150.29962158203125,147.98202514648438,150.29962158203125,147.98202514648438,2.1773288249969482,0
800.2267456054688,2,6,4,-1822.2752685546875,1157.1724853515625,194.04515075683594,92.29902648925781,194.04515075683594,185.8814697265625,1.8595762252807617,0
496.03131103515625,3,6,3,44.9532585144043,957.2196655273438,76.80033111572266,92.62689971923828,240.13633728027344,76.80033111572266,0.6056584715843201,0
437.6759948730469,2,6,4,120.74420928955078,783.650146484375,91.60125732421875,60.43146514892578,158.49644470214844,91.60125732421875,1.7340331077575684,0
475.6094970703125,2,9,7,-439.8865661621094,1578.8033447265625,79.95950317382812,128.08152770996094,173.318603515625,257.6214599609375,1.1534827947616577,0
447.118408203125,3,7,4,47.013919830322266,1201.6468505859375,278.29180908203125,68.86811065673828,278.29180908203125,68.86811065673828,0.4357641637325287,0
789.6117553710938,2,9,7,-299.98236083984375,1593.337890625,190.68856811523438,203.4869842529297,190.68856811523438,255.04771423339844,1.6556050777435303,0
544.2545166015625,2,8,6,109.39612579345703,1213.70654296875,164.80836486816406,69.69654083251953,297.7865295410156,12.609126091003418,0.8790230751037598,0
452.5447692871094,2,7,5,-256.774658203125,1778.027587890625,257.7757568359375,119.27323150634766,443.56231689453125,119.27323150634766,2.5250771045684814,0
1041.3221435546875,2,6,4,-498.2059326171875,1245.3895263671875,158.41128540039062,151.84451293945312,530.4849853515625,18.2586727142334,1.0457643270492554,0
549.2730712890625,2,4,2,168.11546325683594,994.69384765625,143.33615112304688,68.66014862060547,143.33615112304688,68.66014862060547,2.3007471561431885,0
501.97113037109375,3,6,3,-594.1517333984375,1049.853515625,139.46304321289062,69.98714447021484,139.46304321289062,69.98714447021484,0.7671763896942139,0
519.0028076171875,2,5,3,132.59854125976562,1223.4647216796875,242.8265838623047,97.54413604736328,242.8265838623047,97.54413604736328,2.72322416305542,0
415.5992431640625,2,8,6,-319.8719482421875,800.0384521484375,70.89834594726562,60.23387145996094,326.79345703125,0.0,1.4227491617202759,0
438.9225769042969,2,8,6,-492.4084167480469,1235.656494140625,74.34127807617188,95.32817840576172,292.9355163574219,183.05776977539062,3.2413904666900635,0
429.27392578125,2,10,8,-401.2727355957031,1812.31201171875,71.99473571777344,178.85357666015625,560.1527099609375,71.99473571777344,0.5564970970153809,0
980.6510009765625,2,5,3,125.45238494873047,1661.0169677734375,224.67420959472656,98.46893310546875,224.67420959472656,98.46893310546875,0.6922997236251831,0
592.9594116210938,2,7,5,89.08534240722656,1551.4471435546875,156.34140014648438,112.5667724609375,357.0955505371094,112.5667724609375,1.459951639175415,0
770.1463012695312,2,6,4,-307.2462158203125,912.1887817382812,153.95997619628906,91.7853012084961,392.008056640625,0.0,0.8179149031639099,0
487.9472351074219,2,7,5,-724.8496704101562,2093.880615234375,190.1177520751953,155.07455444335938,296.4800720214844,155.07455444335938,0.7533864378929138,0
417.3588562011719,2,5,3,-204.06475830078125,1060.980224609375,118.40994262695312,85.34745788574219,229.22207641601562,85.34745788574219,2.7389564514160156,0
768.4783325195312,2,9,7,173.110595703125,1025.97900390625,123.40621185302734,81.40017700195312,410.7661437988281,14.984698295593262,0.780174970626831,0
401.8545837402344,2,8,6,97.78826141357422,1116.5518798828125,127.30989837646484,62.09542465209961,175.3903350830078,320.5359191894531,1.9747530221939087,0
426.3232116699219,2,5,3,-1060.644287109375,1015.8710327148438,177.44515991210938,81.54951477050781,177.44515991210938,81.54951477050781,1.969831109046936,0
401.79449462890625,2,6,4,-188.0074920654297,1244.3206787109375,153.04400634765625,131.56201171875,153.04400634765625,131.56201171875,0.5999661087989807,0
425.78314208984375,2,5,3,-345.9840393066406,620.30615234375,62.4661750793457,71.9112548828125,274.62017822265625,0.0,0.9487215280532837,0
425.86602783203125,2,6,4,166.25953674316406,988.6968994140625,139.83042907714844,89.77351379394531,231.1730194091797,89.77351379394531,0.6485368609428406,0
567.5926513671875,2,6,4,135.8777618408203,1814.3492431640625,212.78492736816406,102.48387145996094,362.95367431640625,102.48387145996094,0.4629437327384949,0
451.0985412597656,2,7,5,173.10435485839844,1003.5012817382812,111.6676254272461,68.70825958251953,200.9082489013672,68.70825958251953,0.6205022931098938,0
407.8817443847656,2,8,6,-518.3717651367188,985.14111328125,161.38365173339844,79.45075988769531,289.2503967285156,132.0643310546875,0.6297959089279175,0
