met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
405.7327575683594,2,8,6,-350.3997497558594,1227.2147216796875,72.47980499267578,94.43315887451172,288.4847412109375,80.98206329345703,1.4411511421203613,0
544.3377685546875,2,7,5,-131.8037567138672,1244.928955078125,262.3428649902344,64.58145904541016,262.3428649902344,107.55047607421875,1.3484115600585938,0
465.5744323730469,2,8,6,-109.01583862304688,1475.724853515625,128.83961486816406,69.42717742919922,128.83961486816406,234.79638671875,0.5414500832557678,0
557.6784057617188,2,6,4,155.87503051757812,1961.8416748046875,201.30345153808594,69.31783294677734,201.30345153808594,69.31783294677734,0.5745710134506226,0
467.302490234375,2,10,8,172.37124633789062,1988.6580810546875,209.79331970214844,222.91957092285156,457.4109802246094,222.91957092285156,0.6786831021308899,0
526.6835327148438,2,8,6,151.1356658935547,872.5859375,127.57483673095703,102.77022552490234,403.96795654296875,0.0,0.598217785358429,0
409.89166259765625,2,9,7,161.37039184570312,1005.4769287109375,77.38005828857422,73.87705993652344,201.124755859375,77.38005828857422,2.8659231662750244,0
402.3655700683594,2,7,5,172.6285400390625,1013.0226440429688,155.48165893554688,83.68052673339844,155.48165893554688,149.0136260986328,0.5177436470985413,0
509.3268127441406,2,9,7,154.15675354003906,1680.5555419921875,200.22625732421875,261.1400146484375,200.22625732421875,261.1400146484375,0.7830328345298767,0
427.1440124511719,3,10,7,-190.1829071044922,1563.7647705078125,177.1473846435547,159.6244354248047,272.9697570800781,159.6244354248047,3.1625282764434814,0
498.8644104003906,3,8,5,159.7036895751953,2567.003662109375,214.2673797607422,165.99679565429688,654.93408203125,485.6231384277344,2.6058390140533447,0
540.5455932617188,2,7,5,-800.6033935546875,2007.5985107421875,179.86495971679688,154.61940002441406,179.86495971679688,154.61940002441406,1.2215631008148193,0
516.2236328125,2,7,5,-273.9771728515625,1349.372802734375,157.3827667236328,77.06649017333984,157.3827667236328,77.06649017333984,1.771028995513916,0
