met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb,is_signal
599.8867797851562,3,7,4,118.43132781982422,1362.720703125,91.5877914428711,89.54901123046875,458.3070983886719,69.13748931884766,3.269714593887329,0
866.1209716796875,2,7,5,-264.9844055175781,3440.10205078125,409.6356506347656,69.21807098388672,1333.199951171875,367.3721923828125,3.075252056121826,0
422.09375,2,6,4,161.35604858398438,1098.5494384765625,111.98137664794922,73.34549713134766,416.2179260253906,73.34549713134766,1.10517418384552,0
481.84619140625,2,8,6,-2160.6806640625,1981.9244384765625,277.5910949707031,76.93987274169922,277.5910949707031,76.93987274169922,4.903958320617676,0
536.55078125,2,5,3,-52.28504180908203,1415.159423828125,157.5625762939453,72.69596099853516,157.5625762939453,72.69596099853516,1.8647699356079102,0
553.2586669921875,2,6,4,166.17799377441406,1288.990234375,63.26813507080078,95.4846420288086,453.5801696777344,97.99639129638672,1.0808322429656982,0
403.07867431640625,2,7,5,58.938270568847656,862.5244140625,72.05293273925781,84.64244842529297,136.21026611328125,84.64244842529297,2.157388925552368,0
1602.7857666015625,2,7,5,-324.00042724609375,2597.5380859375,579.3182373046875,109.4543685913086,579.3182373046875,109.4543685913086,2.8273727893829346,0
522.4893798828125,4,8,4,164.85690307617188,1205.5584716796875,134.461669921875,74.30223846435547,134.461669921875,124.20713806152344,1.718834638595581,0
600.1959838867188,2,8,6,126.09716033935547,1383.63330078125,96.29039764404297,65.73942565917969,194.97283935546875,65.73942565917969,4.000133514404297,0
751.3880615234375,2,7,5,172.45643615722656,2117.83154296875,199.01318359375,76.5534439086914,356.33685302734375,76.5534439086914,1.2150278091430664,0
533.2590942382812,2,6,4,171.83192443847656,1787.3974609375,244.6160125732422,65.88421630859375,353.24578857421875,65.88421630859375,0.9211122393608093,0
433.86883544921875,2,8,6,133.66494750976562,1413.6748046875,153.36366271972656,75.35694885253906,153.36366271972656,75.35694885253906,2.197154998779297,0
560.0384521484375,3,6,3,-174.70021057128906,1468.501220703125,224.75448608398438,62.747352600097656,360.46527099609375,62.747352600097656,2.026717185974121,0
408.2760925292969,2,6,4,-269.31494140625,770.425048828125,68.17984008789062,64.95584869384766,262.1142272949219,0.0,0.8568316698074341,0
538.3839721679688,2,7,5,170.1915283203125,1020.145263671875,92.4009017944336,74.9179916381836,380.3720397949219,0.0,1.6110073328018188,0
992.6486206054688,2,6,4,-364.9687805175781,1558.7137451171875,270.7247314453125,92.70435333251953,426.7621154785156,68.54209899902344,1.6612581014633179,0
491.3924560546875,2,4,2,-2394.843505859375,1241.8031005859375,182.9921875,84.38815307617188,182.9921875,84.38815307617188,3.3020243644714355,0
406.3515930175781,2,5,3,-230.39382934570312,1130.996826171875,72.05315399169922,79.34291076660156,163.5033416748047,37.28101348876953,1.5297390222549438,0
631.5902709960938,2,8,6,-1140.37841796875,2377.142578125,155.55885314941406,228.75189208984375,370.1612243652344,121.64256286621094,1.5861399173736572,0
813.9200439453125,2,7,5,-103.21048736572266,1751.6875,215.97837829589844,68.1633529663086,215.97837829589844,68.1633529663086,2.49552321434021,0
473.5892028808594,2,6,4,-403.36981201171875,1310.740234375,172.36720275878906,95.97203063964844,172.36720275878906,95.97203063964844,2.4844212532043457,0
403.05914306640625,2,5,3,171.13906860351562,1010.7882690429688,128.4466552734375,69.22565460205078,128.4466552734375,69.22565460205078,2.191056251525879,0
412.2615966796875,2,6,4,-645.4488525390625,715.7074584960938,85.47578430175781,79.37293243408203,187.76307678222656,79.37293243408203,1.5575021505355835,0
614.6571044921875,2,7,5,170.57423400878906,1350.6318359375,160.24981689453125,74.02275848388672,459.9642333984375,0.0,1.1399468183517456,0
755.4063720703125,2,9,7,-606.2063598632812,1486.7415771484375,133.83346557617188,88.1370849609375,133.83346557617188,88.1370849609375,3.0930707454681396,0
417.5006103515625,2,8,6,-61.942222595214844,826.4387817382812,119.06787872314453,60.543155670166016,183.55224609375,60.543155670166016,2.7326319217681885,0
747.9268188476562,2,7,5,-516.8519897460938,2063.368896484375,187.99923706054688,130.51309204101562,339.7236022949219,187.99923706054688,2.1142756938934326,0
846.9154052734375,3,7,4,63.96742248535156,1359.8033447265625,205.44314575195312,64.37153625488281,407.5662841796875,0.0,0.8918004631996155,0
437.6893310546875,2,5,3,-625.9970092773438,943.5946655273438,77.7945785522461,86.89729309082031,266.2302551269531,13.945788383483887,1.1605305671691895,0
1089.0589599609375,2,7,5,94.06586456298828,2535.114501953125,442.7380065917969,74.53324890136719,1069.7733154296875,74.53324890136719,1.3475981950759888,0
768.7578125,2,9,7,159.4844207763672,1827.0902099609375,181.68690490722656,111.59245300292969,181.68690490722656,111.59245300292969,2.089855909347534,0
521.2225952148438,2,9,7,173.04904174804688,1678.9395751953125,163.76043701171875,156.39215087890625,426.5426940917969,6.850235462188721,1.730863094329834,0
655.2565307617188,2,6,4,137.9525909423828,1131.768310546875,125.47040557861328,162.52357482910156,285.0572814941406,66.35704803466797,1.270500898361206,0
421.6004333496094,2,7,5,159.20896911621094,863.884521484375,115.48486328125,69.78569793701172,200.7318115234375,69.78569793701172,0.49498260021209717,0
677.3954467773438,2,9,7,169.88389587402344,1381.2939453125,318.5150146484375,103.6544189453125,530.4776611328125,103.6544189453125,1.3203452825546265,0
492.88824462890625,2,10,8,-125.30889129638672,1437.1285400390625,209.4107666015625,63.65738296508789,209.4107666015625,63.65738296508789,1.7126827239990234,0
