met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb,is_signal
1060.81640625,2,6,4,-933.1151733398438,1468.5069580078125,131.46275329589844,65.65818786621094,131.46275329589844,65.65818786621094,2.086167097091675,1
898.0089111328125,2,9,7,165.23330688476562,1579.6663818359375,214.4187469482422,155.52880859375,214.4187469482422,155.52880859375,1.3603596687316895,1
1067.205322265625,2,8,6,-718.675048828125,1452.11572265625,285.59454345703125,127.25421905517578,285.59454345703125,191.16729736328125,2.07915997505188,1
942.7285766601562,2,7,5,-246.76539611816406,1435.61767578125,207.2411346435547,91.12127685546875,207.2411346435547,161.61636352539062,1.5498123168945312,1
646.2842407226562,2,11,9,-404.6134338378906,1489.78466796875,137.11558532714844,143.81605529785156,137.11558532714844,143.81605529785156,2.3405511379241943,1
618.9584350585938,2,5,3,-564.0695190429688,1148.5477294921875,169.9328155517578,101.75045776367188,169.9328155517578,101.75045776367188,1.9519455432891846,1
567.6239624023438,2,7,5,-687.7728881835938,1957.783447265625,162.9972381591797,153.23583984375,162.9972381591797,141.25839233398438,3.2115378379821777,1
528.7664794921875,2,4,2,-536.1204833984375,2021.1888427734375,313.9892578125,90.92469024658203,313.9892578125,90.92469024658203,3.095526695251465,1
1014.6329345703125,2,4,2,-591.5038452148438,1226.1986083984375,135.65139770507812,95.27949523925781,135.65139770507812,95.27949523925781,1.344425916671753,1
1142.708984375,2,9,7,-107.52579498291016,1957.611572265625,193.78785705566406,64.41839599609375,771.75244140625,264.985107421875,0.9950928688049316,1
1122.576416015625,2,5,3,-58.322608947753906,1244.2059326171875,173.05711364746094,76.71013641357422,539.3229370117188,0.0,0.6070540547370911,1
527.036865234375,2,7,5,-404.5074768066406,2273.906005859375,204.91390991210938,173.3482666015625,376.4858703613281,173.3482666015625,2.4688029289245605,1
1762.7200927734375,2,5,3,-236.81893920898438,2178.463623046875,172.37278747558594,77.11041259765625,172.37278747558594,185.87765502929688,1.8969032764434814,1
950.7265014648438,2,7,5,114.32101440429688,1323.4693603515625,118.86112213134766,90.04563903808594,402.13409423828125,0.0,1.686956763267517,1
1205.8814697265625,2,4,2,-973.55078125,1424.2105712890625,185.8250274658203,75.38707733154297,185.8250274658203,75.38707733154297,1.526635766029358,1
1250.4664306640625,2,10,8,141.35377502441406,2083.41650390625,360.59088134765625,65.28006744384766,531.0879516601562,65.28006744384766,1.6010222434997559,1
1189.943115234375,2,8,6,120.09297943115234,2535.71044921875,184.9315643310547,125.33244323730469,336.33404541015625,507.6540832519531,0.9144340753555298,1
723.2738647460938,2,10,8,-1102.08837890625,1475.3974609375,187.7703094482422,86.37155151367188,187.7703094482422,169.8162078857422,3.1657304763793945,1
