1000,1,1.5184266383522478
1000,200,1.3648899604724654
1000,400,1.006207958696835
1000,600,0.31223345883004316
1000,800,-0.08818815481903788
1200,1,0.20988786304659673
1200,200,0.19509849843256838
1200,400,0.15138791853638345
1200,600,0.0867606911143732
1200,800,-0.03086764936172197
1200,1000,-0.09579871991643123
1400,1,0.009514522862967573
1400,200,0.007977727250025202
1400,400,0.0007716917261426711
1400,600,-0.010760297813299236
1400,800,-0.034880043159910994
1400,1000,-0.07602401124913245
1400,1200,-0.09833818877831339
1600,1,-0.06308716102433672
1600,200,-0.06384866811178216
1600,400,-0.06329825763758087
1600,600,-0.06646009198105342
1600,800,-0.07117242594299973
1600,1000,-0.07766890062939759
1600,1200,-0.09173934075588022
1600,1400,-0.09928248258357444
1800,1,-0.08653587012145361
1800,200,-0.08666745499610654
1800,400,-0.08606379100957151
1800,600,-0.08727619868427722
1800,800,-0.08733152028682845
1800,1000,-0.08876238543058958
1800,1200,-0.09240006680367803
1800,1400,-0.09658299942964939
1800,1600,-0.09980412411520666
2000,1,-0.09460184793503403
2000,200,-0.09469258428870415
2000,400,-0.09477973079514539
2000,600,-0.09478230360713162
2000,800,-0.09495512037883774
2000,1000,-0.0952739436577261
2000,1200,-0.09572020684158931
2000,1400,-0.09702362718779245
2000,1600,-0.09872203369960103
2000,1800,-0.09983185229524978
